"EstablishmentID","InspectionID","EstablishmentName","PlaceName","Address","Address2","City","State","Zip","TypeDescription","Latitude","Longitude","InspectionDate","Score","Grade","NameSearch","Intersection"
"84292","1464187","FOUNDERS CAFE","","2825 LEXINGTON RD","","LOUISVILLE","KY","40207","FOOD SERVICE","38.2464000","-85.6856000","2019-04-22 00:00:00","100","A","FOUNDERS CAFE",""
"83411","1464201","DONGAR FOOD MART","","1401 LEXINGTON RD","","LOUISVILLE","KY","40206","RETAIL-FOOD  10,000 SQ FT OR LESS","38.2506000","-85.7209000","2019-04-19 00:00:00","98","A","DONGAR FOOD MART",""
"104665","1464205","TACO BELL","","4643 DIXIE HWY","","LOUISVILLE","KY","40216","FOOD SERVICE","38.1758000","-85.8210000","2019-04-22 00:00:00","97","A","TACO BELL",""
"102327","1467885","BHAVANA FOODS","","1841 PLANTSIDE DR","","LOUISVILLE","KY","40299","CATERERS","38.2170000","-85.5710000","2019-05-07 00:00:00","100","A","BHAVANA FOODS",""
"98056","1467888","MCDONALD'S","","1100 S HURSTBOURNE PKWY","","LOUISVILLE","KY","40222","FOOD SERVICE",".0000000",".0000000","2019-05-07 00:00:00","98","A","MCDONALD'S",""
"107540","1467893","FOUR PEGS","","1053 GOSS AVE","","LOUISVILLE","KY","40217","FOOD SERVICE","38.2273000","-85.7352000","2019-05-07 00:00:00","95","A","FOUR PEGS",""
"70155","1467928","HONG KONG FAST FOOD","","5312 S 3RD ST","","LOUISVILLE","KY","40214","FOOD SERVICE","38.1708000","-85.7686000","2019-05-07 00:00:00","95","A","HONG KONG FAST FOOD",""
"35079","1467945","JOCKEY CLUB SUITES","","700 CENTRAL AVE","","LOUISVILLE","KY","40208","FOOD SERVICE","38.2042000","-85.7718000","2019-05-01 00:00:00","99","","JOCKEY CLUB SUITES",""
"33988","1467946","SPEEDWAY #9640","","4720 DIXIE HWY","","LOUISVILLE","KY","40216","RETAIL-FOOD  10,000 SQ FT OR LESS","38.1748000","-85.8234000","2019-05-07 00:00:00","99","A","SPEEDWAY #9640",""
"77107","1467956","COSTCO","","5020 NORTON HEALTHCARE BLVD","","LOUISVILLE","KY","40241","RETAIL-FOOD  10,001 SQ FT OR OVER","38.3170000","-85.5729000","2019-05-07 00:00:00","99","A","COSTCO",""
"99953","1468028","KATMANDU KITCHEN & BAR","","3825 BARDSTOWN RD","","LOUISVILLE","KY","40218","FOOD SERVICE","38.1961000","-85.6537000","2019-05-06 00:00:00","100","A","KATMANDU KITCHEN & BAR",""
"34358","1468030","EL NOPAL","","6300 BARDSTOWN RD","","LOUISVILLE","KY","40291","FOOD SERVICE","38.1551000","-85.5904000","2019-05-06 00:00:00","99","A","EL NOPAL",""
"106098","1468039","FUJI ASIAN BISTRO","","6801 DIXIE HWY","","LOUISVILLE","KY","40258","FOOD SERVICE","38.1518000","-85.8348000","2019-05-07 00:00:00","98","A","FUJI ASIAN BISTRO",""
"31403","1450376","INDIAN TRAIL ELEMENTARY SCHOOL","","3709 E INDIAN TRAIL","","LOUISVILLE","KY","40213","SCHOOL CAFETERIA OR FOOD SERVICE","38.1712000","-85.6907000","2019-02-19 00:00:00","98","A","INDIAN TRAIL ELEMENTARY SCHOOL",""
"106746","1450379","JAY'S FOOD MART","","5370 RANGELAND RD","","LOUISVILLE","KY","40219","RETAIL-FOOD  10,000 SQ FT OR LESS","38.1640000","-86.6604000","2019-02-19 00:00:00","100","A","JAY'S FOOD MART",""
"94494","1450404","SODEXO @ GE #1","","4000 BUECHEL BANK RD","","LOUISVILLE","KY","40218","FOOD SERVICE","38.1752000","-85.6534000","2019-02-19 00:00:00","95","A","SODEXO @ GE #1",""
"94493","1450409","SODEXO @ GE #5","","4000 BUECHEL BANK RD","","LOUISVILLE","KY","40218","FOOD SERVICE","38.1752000","-85.6534000","2019-02-19 00:00:00","90","C","SODEXO @ GE #5",""
"31419","1450464","BUTLER HIGH SCHOOL","","2222 CRUMS LN","","LOUISVILLE","KY","40216","SCHOOL CAFETERIA OR FOOD SERVICE","38.1931000","-85.8153000","2019-02-19 00:00:00","99","A","BUTLER HIGH SCHOOL",""
"95650","1454399","LAUGHTER AND LULLABIES CHILD CARE","","5313 HAMES TRACE","","LOUISVILLE","KY","40291","FOOD SERVICE (DAY CARE / CHILD CARE CENTER","38.1654000","-85.6049000","2019-03-04 00:00:00","100","A","LAUGHTER AND LULLABIES CHILD CARE",""
"87474","1454412","COOKING AT THE COTTAGE","","3739 LEXINGTON RD","","LOUISVILLE","KY","40207","FOOD SERVICE","38.2528000","-85.6578000","2019-03-07 00:00:00","100","A","COOKING AT THE COTTAGE",""
"106933","1454416","HALAL PIZZA & MORE","","5318 S 3RD ST","","LOUISVILLE","KY","40214","FOOD SERVICE","38.1705000","-85.7682000","2019-03-07 00:00:00","79","C","HALAL PIZZA & MORE",""
"107025","1457906","CHICAGO STEAK & LEMONADE","","9015 GALENE DR","","LOUISVILLE","KY","40299","FOOD SERVICE","38.1987000","-85.5905000","2019-02-21 00:00:00","","","CHICAGO STEAK & LEMONADE",""
"107225","1458019","THORNTONS #93","","1501 DIXIE HWY","","LOUISVILLE","KY","40210","RETAIL-FOOD  10,000 SQ FT OR LESS","38.1024000","-85.8691000","2019-03-21 00:00:00","76","","THORNTONS #93",""
"31844","1458038","ST. LEONARD SCHOOL","","440 ZORN AVE","","LOUISVILLE","KY","40206","SCHOOL CAFETERIA OR FOOD SERVICE","38.2638000","-85.6898000","2019-03-25 00:00:00","100","A","ST. LEONARD SCHOOL",""
"91679","1458041","SUPER USA #5","","5901 NEW CUT RD","","LOUISVILLE","KY","40214","RETAIL-FOOD  10,000 SQ FT OR LESS","38.7060000","-85.4606000","2019-03-25 00:00:00","93","C","SUPER USA #5",""
"91679","1458042","SUPER USA #5","","5901 NEW CUT RD","","LOUISVILLE","KY","40214","RETAIL-FOOD  10,000 SQ FT OR LESS","38.7060000","-85.4606000","2019-03-25 00:00:00","93","","SUPER USA #5",""
"105725","1458047","BLESSED & FAITHFUL LEARNING CENTER","","7290 MANSLICK RD","","LOUISVILLE","KY","40214","FOOD SERVICE (DAY CARE / CHILD CARE CENTER","38.1561000","-85.8019000","2019-03-25 00:00:00","99","A","BLESSED & FAITHFUL LEARNING CENTER",""
"97249","1458051","PIEOLOGY PIZZERIA","","2043 S HURSTBOURNE PKWY","","LOUISVILLE","KY","40220","FOOD SERVICE","38.2171000","-85.5879000","2019-03-25 00:00:00","99","A","PIEOLOGY PIZZERIA",""
